artifact_id,category,public_filename,title,related_section,source_filename,format,sha256,size_bytes,media_type,asset_role,parent_asset_id,privacy_status,redactions,license,provenance,release_date,release_status
TS10,table,Table_S10.xlsx,Transfer scale and spatial diagnostics,S4,Table_S10_Transfer_Scale_and_Spatial_Diagnostics_host_surfaces_20260811.xlsx,xlsx,d7cc9206570db6703e72e897a9b3ec128bfe9a57ccd0e857d80235196c643270,11972,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS11,table,Table_S11.xlsx,Joint-model definitions and estimands,S5,Table_S11_Joint_Model_Definition_and_Estimands_host_surfaces_20260811.xlsx,xlsx,e7068a89f85fff1440f49ac3fd3580fcbbe57df27d7d649668ced3ff29a74d70,8770,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS12,table,Table_S12.xlsx,Joint-model results and exposure summaries,S5,Table_S12_Joint_Model_Results_and_Exposure_Summaries_updated.xlsx,xlsx,b8357e733cc55e44802a569eff6eb44d8fa4c124e02b5759d7e95624d15129a0,7231,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS13,table,Table_S13.xlsx,City projection and Prediction Interpretation Domain,S6,Table_S13_City_Projection_and_PID_host_surfaces_20260811.xlsx,xlsx,cae17d5f3bbdf13a9a53eb61e1f18d5f4d08603bb57c75c5551643310c9a0859,8742,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS14,table,Table_S14.xlsx,Area of Applicability and prediction-support classes,S6,Table_S14_AOA_and_Interpretation_Tiers_updated.xlsx,xlsx,2aa1962deb0695b8615c8b3daf54cfd1fc390f1c2a80474af62f33f83f90c2d7,7816,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS15,table,Table_S15.xlsx,Planning-sensitive places and urban-function overlap,S7,Table_S15_POI_and_Urban_Function_Overlap_updated.xlsx,xlsx,af8e58036085e879313c4fafd3127a43a91c589804d18bb4807181a704c71553,8837,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS16,table,Table_S16.xlsx,Adaptive monitoring design,S8,Table_S16_Adaptive_Monitoring_Design_deployment_size_20260811.xlsx,xlsx,b476deb9ca54a61a0ed9837767ac51553fb6a961401dbb08f91ad13f738f3cff,11127,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,exact candidate HEX identifiers and centroids removed; route ranks retained,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
TS17,table,Table_S17.xlsx,"Software, model provenance and availability",S9,Table_S17_Software_Model_Provenance_and_Availability_host_surfaces_20260811.xlsx,xlsx,bafc3e5883a5cde5adbbbfbda52c802deda8de78d81e6b4e484f0788ccdfe4ec,12197,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,canonical,,public_redacted,availability statements harmonised with public archive scope,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS01,figure,Figure_S01.pdf,Monitoring network and recording effort,S1,Figure_S1_Monitoring_Stations_and_Recording_Effort_20260801.pdf,pdf,44a28c0aa74bf589481b2e7d25b012bbd59838a07c3cc555fcb7f627ecd5b5b2,187329,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS01-PREVIEW,figure_preview,Figure_S01.png,Monitoring network and recording effort - GitHub preview,S1,Figure_S1_Monitoring_Stations_and_Recording_Effort_20260801.pdf,png,ebd8b7a674404d0c16ab2e9d66bb82f2fea1d512660dc29d4f3460cf4330c19a,123403,image/png,preview,FS01,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS02,figure,Figure_S02.pdf,Whole-station validation of the daily-detection model,S2,Figure_S2_Whole_Station_Detection_Validation_20260801.pdf,pdf,ce40ed38efc391eed6b12461d32f881dfc5e43c6f060605a08bd0fa02f411d5f,8710,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS02-PREVIEW,figure_preview,Figure_S02.png,Whole-station validation of the daily-detection model - GitHub preview,S2,Figure_S2_Whole_Station_Detection_Validation_20260801.pdf,png,d038cb9385cf06f173960d9e2e0934f6b9750b292e890d33633b38bf3f31f760,142378,image/png,preview,FS02,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS03,figure,Figure_S03.pdf,Whole-station validation of potential-host opportunity models,S3,Figure_S3_Potential_Host_Validation_20260801.pdf,pdf,b5e997c79a2ac537d7f119b5031f17bd8cabce214209b3552d8b040b81ae0068,7975,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS03-PREVIEW,figure_preview,Figure_S03.png,Whole-station validation of potential-host opportunity models - GitHub preview,S3,Figure_S3_Potential_Host_Validation_20260801.pdf,png,aec7f9d265663a3e11505925075edcf7cbaa7e29f5eb8d661785684053a4ddb3,95541,image/png,preview,FS03,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS04,figure,Figure_S04.pdf,Host associations and propagated uncertainty,S4,Figure_S4_Host_Associations_and_Uncertainty_20260802.pdf,pdf,b8febd8de1716342527569ec701076e3d300b6ce5a36893ebd31ad69299b3107,9370,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS04-PREVIEW,figure_preview,Figure_S04.png,Host associations and propagated uncertainty - GitHub preview,S4,Figure_S4_Host_Associations_and_Uncertainty_20260802.pdf,png,2ae898ab4ebe3cbfc49f57d756f700155c8889ae9c6f83dc162a7bb183c0ab31,78938,image/png,preview,FS04,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS05,figure,Figure_S05.pdf,Transfer scale and residual spatial diagnostics,S4,Figure_S5_Transfer_Scale_and_Spatial_Diagnostics_revised_20260802.pdf,pdf,55576f3b01e238011c729bb82f76600a04f59d79e0454c0e1c467ec86c123db7,6505,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS05-PREVIEW,figure_preview,Figure_S05.png,Transfer scale and residual spatial diagnostics - GitHub preview,S4,Figure_S5_Transfer_Scale_and_Spatial_Diagnostics_revised_20260802.pdf,png,efec8dda9947d2fdbed1417adbfab570d07801b752c0ddbfa6647e7927976c48,98725,image/png,preview,FS05,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS06,figure,Figure_S06.pdf,Joint acoustic-activity model and derived exposure,S5,Figure_S6_Joint_Model_compact_20260811.pdf,pdf,49df79c70b010c688451b26262e55a2b1b25cddd8e65eeeccfb1788ca73d28d1,8428,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS06-PREVIEW,figure_preview,Figure_S06.png,Joint acoustic-activity model and derived exposure - GitHub preview,S5,Figure_S6_Joint_Model_compact_20260811.pdf,png,0952f91e829f3238865087515df438bc4745d27e53dc4d579fdb3a1c182e1d31,127085,image/png,preview,FS06,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS07,figure,Figure_S07.pdf,City prediction and prediction-support classes,S6,Figure_S7_City_Prediction_PID_AOA_updated.pdf,pdf,e3722d2ff8e56f9f81535c577c87590a7bce2b2a65921283e057d812103f513a,1084173,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS07-PREVIEW,figure_preview,Figure_S07.png,City prediction and prediction-support classes - GitHub preview,S6,Figure_S7_City_Prediction_PID_AOA_updated.pdf,png,d1c2e75a8db4076d3c667b80cd47791a1550a984c3494c145976583ecfbb00be,551789,image/png,preview,FS07,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS08,figure,Figure_S08.pdf,Overlap with planning-sensitive places and urban functions,S7,Figure_S8_POI_and_Urban_Function_Overlap_compact_20260811.pdf,pdf,59f925bca4e106c94db51cd0d4f53df1c58f85936db6dc593b954a13eca5d017,9369,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS08-PREVIEW,figure_preview,Figure_S08.png,Overlap with planning-sensitive places and urban functions - GitHub preview,S7,Figure_S8_POI_and_Urban_Function_Overlap_compact_20260811.pdf,png,7b3beb17bf89ce9317a315d7a8f01710b69b9032e2621affb6de59ccf71cb4d3,147567,image/png,preview,FS08,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS09,figure,Figure_S09.pdf,Monitoring-priority surfaces,S8,Figure_S9_Monitoring_Priority_public_terms_20260811.pdf,pdf,e9bd198160a40cae14c296567e2625f9d7d914c1c3e7075dc19d8a9eecd7ed7b,994590,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS09-PREVIEW,figure_preview,Figure_S09.png,Monitoring-priority surfaces - GitHub preview,S8,Figure_S9_Monitoring_Priority_public_terms_20260811.pdf,png,079e5c6d3a82fb0d6ac4678f84ab2393c54d8a2ea503b7eb12ed4dea53d064ed,729037,image/png,preview,FS09,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS10,figure,Figure_S10.pdf,Sequential Coverage Expansion and Prediction Validation candidates,S8,Figure_S10_Sequential_PAM_Candidates_labels_repositioned_20260811.pdf,pdf,a7a5147759e6deddfe831ad81bfa50a91d31fb28810591666448df16aff7dad6,317901,application/pdf,canonical,,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
FS10-PREVIEW,figure_preview,Figure_S10.png,Sequential Coverage Expansion and Prediction Validation candidates - GitHub preview,S8,Figure_S10_Sequential_PAM_Candidates_labels_repositioned_20260811.pdf,png,22250828290819cb9002540b097290f40b42e859e547b2b7dde4f8cde57cafd6,396147,image/png,preview,FS10,public_redacted,none,CC-BY-4.0,derived from the manuscript-aligned private production asset,2026-08-14,public
